计数            温度            样品电压          样品电流          霍尔电势          磁场强度          励磁电流
58            296.1         0.0916        0.1415        0.2426        127.1         2.6190
59            296.1         0.0917        0.1415        0.2433        127.9         2.6300
60            296.1         0.0919        0.1415        0.2438        127.9         2.6520
61            296.1         0.0921        0.1415        0.2444        128.6         2.6660
62            296.1         0.0923        0.1415        0.2450        129.2         2.6830
63            296.1         0.0924        0.1415        0.2457        130.4         2.6830
64            296.1         0.0926        0.1415        0.2461        130.4         2.7060
65            296.1         0.0928        0.1415        0.2466        131.3         2.7260
66            296.1         0.0929        0.1415        0.2474        132.1         2.7430
67            296.1         0.0931        0.1415        0.2478        132.9         2.7600
68            296.1         0.0933        0.1415        0.2485        133.7         2.7750
69            296.1         0.0935        0.1415        0.2492        134.5         2.7750
70            296.1         0.0936        0.1415        0.2496        135.4         2.7930
71            296.1         0.0939        0.1415        0.2503        136.2         2.8030
72            296.1         0.0939        0.1415        0.2510        136.2         2.8250
73            296.1         0.0942        0.1415        0.2514        136.8         2.8360
74            296.1         0.0943        0.1415        0.2520        137.4         2.8570
75            296.1         0.0944        0.1415        0.2526        138.4         2.8690
76            296.1         0.0947        0.1415        0.2533        139.4         2.8690
77            296.1         0.0949        0.1415        0.2539        140.2         2.8910
78            296.1         0.0950        0.1415        0.2544        140.2         2.9120
79            296.1         0.0952        0.1415        0.2550        141.0         2.9320
80            296.1         0.0954        0.1415        0.2554        141.8         2.9450
81            296.1         0.0955        0.1414        0.2562        142.8         2.9650
82            296.1         0.0957        0.1415        0.2567        143.4         2.9650
83            296.1         0.0959        0.1415        0.2572        144.2         2.9770
84            296.1         0.0960        0.1414        0.2579        144.2         2.9890
85            296.1         0.0962        0.1414        0.2585        145.0         3.0180
86            296.1         0.0964        0.1415        0.2590        146.2         3.0310
87            296.1         0.0966        0.1415        0.2596        146.8         3.0310
88            296.1         0.0967        0.1415        0.2603        146.8         3.0500
89            296.1         0.0969        0.1415        0.2608        147.8         3.0730
90            296.1         0.0971        0.1415        0.2613        148.6         3.0850
91            296.1         0.0972        0.1415        0.2620        149.5         3.0850
92            296.1         0.0975        0.1415        0.2625        150.2         3.1070
93            296.1         0.0976        0.1415        0.2630        151.0         3.1180
94            296.1         0.0978        0.1415        0.2637        151.0         3.1400
95            296.1         0.0980        0.1415        0.2641        151.8         3.1510
96            296.1         0.0981        0.1415        0.2647        152.4         3.1710
97            296.1         0.0983        0.1415        0.2655        153.4         3.1710
98            296.1         0.0985        0.1415        0.2660        154.4         3.1940
99            296.1         0.0987        0.1415        0.2666        154.4         3.2100
100           296.1         0.0988        0.1415        0.2672        155.0         3.2270
101           296.1         0.0990        0.1415        0.2677        155.8         3.2470
102           296.1         0.0992        0.1415        0.2683        156.6         3.2600
103           296.1         0.0994        0.1415        0.2687        157.1         3.2490
104           296.1         0.0993        0.1415        0.2686        156.8         3.2490
105           296.1         0.0992        0.1415        0.2682        156.3         3.2380
106           296.1         0.0992        0.1415        0.2677        155.7         3.2240
107           296.1         0.0990        0.1414        0.2672        155.7         3.2050
108           296.1         0.0988        0.1415        0.2667        155.2         3.1890
109           296.1         0.0987        0.1415        0.2663        154.7         3.1720
110           296.1         0.0985        0.1415        0.2657        153.9         3.1520
111           296.1         0.0984        0.1414        0.2651        153.2         3.1400
112           296.1         0.0983        0.1414        0.2647        152.4         3.1200
113           296.1         0.0981        0.1415        0.2642        151.8         3.1200
114           296.1         0.0979        0.1415        0.2637        151.2         3.1070
115           296.1         0.0978        0.1415        0.2631        150.3         3.0960
116           296.1         0.0976        0.1415        0.2626        150.3         3.0750
117           296.1         0.0974        0.1414        0.2620        149.7         3.0620
118           296.1         0.0972        0.1414        0.2616        149.2         3.0440
119           296.1         0.0971        0.1414        0.2609        148.3         3.0270
120           296.1         0.0969        0.1415        0.2604        147.8         3.0100
121           296.1         0.0968        0.1415        0.2600        147.0         2.9940
122           296.1         0.0966        0.1415        0.2593        146.2         2.9940
123           296.1         0.0964        0.1415        0.2588        145.5         2.9770
124           296.1         0.0962        0.1415        0.2584        144.9         2.9660
125           296.1         0.0961        0.1415        0.2576        144.9         2.9450
126           296.1         0.0959        0.1415        0.2572        144.1         2.9240
127           296.1         0.0958        0.1414        0.2567        143.1         2.9090
128           296.1         0.0956        0.1414        0.2559        142.4         2.9090
129           296.1         0.0954        0.1415        0.2554        142.4         2.8910
130           296.1         0.0953        0.1414        0.2547        141.5         2.8730
131           296.1         0.0951        0.1414        0.2542        140.8         2.8580
132           296.1         0.0949        0.1414        0.2537        139.9         2.8370
133           296.1         0.0948        0.1415        0.2530        139.2         2.8250
134           296.1         0.0946        0.1414        0.2525        138.4         2.8050
135           296.1         0.0944        0.1414        0.2519        137.6         2.8050
136           296.1         0.0942        0.1414        0.2513        137.0         2.7930
137           296.1         0.0941        0.1414        0.2508        136.2         2.7810
138           296.1         0.0939        0.1414        0.2502        136.2         2.7600
139           296.1         0.0937        0.1414        0.2495        135.5         2.7440
140           296.1         0.0935        0.1414        0.2490        134.9         2.7270
141           296.1         0.0934        0.1414        0.2485        133.7         2.7270
142           296.1         0.0932        0.1414        0.2479        133.1         2.7060
143           296.1         0.0930        0.1414        0.2475        132.3         2.6950
144           296.1         0.0929        0.1414        0.2467        132.3         2.6730
145           296.1         0.0927        0.1414        0.2461        131.5         2.6600
146           296.1         0.0925        0.1414        0.2458        131.0         2.6420
147           296.1         0.0924        0.1414        0.2450        129.7         2.6420
148           296.1         0.0922        0.1414        0.2445        129.7         2.6190
149           296.1         0.0920        0.1414        0.2440        128.9         2.5990
150           296.1         0.0919        0.1414        0.2433        127.9         2.5840
151           296.1         0.0917        0.1414        0.2428        127.1         2.5840
152           296.1         0.0915        0.1414        0.2423        127.1         2.5650
153           296.1         0.0914        0.1414        0.2415        126.3         2.5430
154           296.1         0.0912        0.1414        0.2410        125.4         2.5230
155           296.1         0.0910        0.1414        0.2402        124.6         2.5110
156           296.1         0.0908        0.1414        0.2397        123.7         2.4900
157           296.1         0.0908        0.1414        0.2391        123.1         2.4900
158           296.1         0.0905        0.1414        0.2385        122.3         2.4780
159           296.1         0.0904        0.1414        0.2380        121.5         2.4650
160           296.1         0.0902        0.1414        0.2374        121.5         2.4460
161           296.1         0.0900        0.1414        0.2368        120.7         2.4300
162           296.1         0.0898        0.1414        0.2362        120.2         2.4130
163           296.1         0.0897        0.1414        0.2355        119.2         2.3930
164           296.1         0.0895        0.1414        0.2350        118.6         2.3810
165           296.1         0.0893        0.1414        0.2344        117.6         2.3610
166           296.1         0.0891        0.1414        0.2338        116.8         2.3610
167           296.1         0.0890        0.1414        0.2330        116.2         2.3480
168           296.1         0.0888        0.1414        0.2326        115.4         2.3370
169           296.1         0.0887        0.1414        0.2320        115.4         2.3150
170           296.1         0.0885        0.1414        0.2314        114.6         2.3010
171           296.1         0.0883        0.1414        0.2311        113.9         2.2840
172           296.1         0.0882        0.1414        0.2303        113.1         2.2670
173           296.1         0.0880        0.1414        0.2297        112.5         2.2500
174           296.1         0.0878        0.1414        0.2294        111.7         2.2340
175           296.1         0.0876        0.1414        0.2285        110.8         2.2340
176           296.1         0.0875        0.1414        0.2280        110.8         2.2180
177           296.1         0.0873        0.1414        0.2273        109.9         2.1980
178           296.1         0.0872        0.1414        0.2268        109.2         2.1830
179           296.1         0.0870        0.1414        0.2262        108.3         2.1650
180           296.1         0.0869        0.1414        0.2255        107.6         2.1530
181           296.1         0.0867        0.1414        0.2251        106.7         2.1310
182           296.1         0.0864        0.1414        0.2244        106.0         2.1310
183           296.1         0.0863        0.1414        0.2237        105.4         2.1200
184           296.1         0.0861        0.1414        0.2232        104.4         2.1070
185           296.1         0.0859        0.1414        0.2226        104.4         2.0880
186           296.1         0.0857        0.1414        0.2219        103.6         2.0690
187           296.1         0.0856        0.1414        0.2214        102.9         2.0550
188           296.1         0.0854        0.1414        0.2208        102.1         2.0340
189           296.1         0.0852        0.1414        0.2201        101.3         2.0220
190           296.1         0.0851        0.1414        0.2196        100.5         2.0020
191           296.1         0.0849        0.1414        0.2190        99.7          2.0020
192           296.1         0.0848        0.1414        0.2184        99.1          1.9900
193           296.1         0.0846        0.1414        0.2178        99.1          1.9790
194           296.1         0.0845        0.1414        0.2173        98.1          1.9490
195           296.1         0.0843        0.1414        0.2168        97.0          1.9350
196           296.1         0.0841        0.1414        0.2160        96.3          1.9350
197           296.1         0.0840        0.1414        0.2155        96.3          1.9170
198           296.1         0.0838        0.1414        0.2148        95.4          1.9000
199           296.1         0.0836        0.1414        0.2145        94.7          1.8830
200           296.1         0.0835        0.1414        0.2137        93.8          1.8670
201           296.1         0.0833        0.1414        0.2132        92.8          1.8670
202           296.1         0.0832        0.1414        0.2125        92.1          1.8490
203           296.1         0.0830        0.1414        0.2120        91.2          1.8340
204           296.1         0.0828        0.1414        0.2114        91.2          1.8170
205           296.1         0.0827        0.1414        0.2107        90.5          1.7970
206           296.1         0.0826        0.1414        0.2102        89.9          1.7840
207           296.1         0.0824        0.1414        0.2096        88.9          1.7640
208           296.1         0.0823        0.1414        0.2089        88.1          1.7510
209           296.1         0.0821        0.1414        0.2085        87.3          1.7300
210           296.1         0.0819        0.1414        0.2079        86.5          1.7300
211           296.1         0.0817        0.1414        0.2072        85.9          1.7190
212           296.1         0.0816        0.1414        0.2067        84.9          1.7050
213           296.1         0.0814        0.1414        0.2060        84.9          1.6860
214           296.1         0.0813        0.1414        0.2055        84.2          1.6700
215           296.1         0.0811        0.1414        0.2049        83.6          1.6540
216           296.1         0.0810        0.1414        0.2043        82.6          1.6340
217           296.1         0.0808        0.1414        0.2037        81.8          1.6220
218           296.1         0.0807        0.1414        0.2032        81.0          1.6010
219           296.1         0.0805        0.1414        0.2026        80.2          1.6010
220           296.1         0.0803        0.1414        0.2020        79.6          1.5890
221           296.1         0.0802        0.1414        0.2015        79.6          1.5780
222           296.1         0.0801        0.1414        0.2010        78.6          1.5480
223           296.1         0.0799        0.1414        0.2004        77.5          1.5480
224           296.1         0.0798        0.1414        0.2000        76.7          1.5350
225           296.1         0.0797        0.1414        0.1992        76.7          1.5130
226           296.1         0.0794        0.1414        0.1987        75.9          1.4930
227           296.1         0.0793        0.1414        0.1982        74.9          1.4930
228           296.1         0.0792        0.1414        0.1975        73.8          1.4760
229           296.1         0.0790        0.1414        0.1969        73.8          1.4590
230           296.1         0.0789        0.1414        0.1962        73.0          1.4380
231           296.1         0.0787        0.1414        0.1958        72.3          1.4250
232           296.1         0.0786        0.1414        0.1952        71.4          1.4060
233           296.1         0.0784        0.1414        0.1945        70.7          1.3940
234           296.1         0.0783        0.1414        0.1941        69.9          1.3720
235           296.1         0.0781        0.1414        0.1935        69.1          1.3720
236           296.1         0.0780        0.1414        0.1929        68.3          1.3610
237           296.1         0.0779        0.1414        0.1924        67.3          1.3470
238           296.1         0.0777        0.1414        0.1918        67.3          1.3290
239           296.1         0.0775        0.1414        0.1912        66.7          1.3130
240           296.1         0.0774        0.1414        0.1906        66.0          1.2960
241           296.1         0.0772        0.1414        0.1900        65.1          1.2750
242           296.1         0.0770        0.1414        0.1893        64.3          1.2630
243           296.1         0.0769        0.1414        0.1888        63.5          1.2630
244           296.1         0.0767        0.1414        0.1883        63.5          1.2430
245           296.1         0.0766        0.1414        0.1877        62.5          1.2210
246           296.1         0.0764        0.1414        0.1869        61.5          1.2090
247           296.1         0.0762        0.1413        0.1864        60.5          1.2090
248           296.1         0.0761        0.1414        0.1858        59.7          1.1870
249           296.1         0.0760        0.1414        0.1850        59.7          1.1660
250           296.1         0.0757        0.1414        0.1844        58.9          1.1510
251           296.1         0.0756        0.1414        0.1837        58.0          1.1330
252           296.1         0.0754        0.1414        0.1829        57.3          1.1220
253           296.1         0.0752        0.1413        0.1823        56.4          1.1220
254           296.1         0.0750        0.1413        0.1818        56.4          1.1000
255           296.1         0.0749        0.1413        0.1812        55.4          1.0800
256           296.1         0.0748        0.1413        0.1802        54.4          1.0630
257           296.1         0.0745        0.1414        0.1797        53.5          1.0630
258           296.1         0.0744        0.1414        0.1788        52.6          1.0460
259           296.1         0.0742        0.1414        0.1782        51.8          1.0300
260           296.1         0.0740        0.1414        0.1775        51.8          1.0140
261           296.1         0.0738        0.1414        0.1766        51.0          0.9940
262           296.1         0.0737        0.1414        0.1760        50.4          0.9810
263           296.1         0.0734        0.1414        0.1753        49.4          0.9610
264           296.1         0.0733        0.1414        0.1744        48.6          0.9490
265           296.1         0.0731        0.1414        0.1738        47.8          0.9280
266           296.1         0.0729        0.1414        0.1730        47.0          0.9280
267           296.1         0.0727        0.1414        0.1723        46.4          0.9160
268           296.1         0.0726        0.1414        0.1715        45.4          0.9030
269           296.1         0.0723        0.1414        0.1707        45.4          0.8840
270           296.1         0.0722        0.1414        0.1699        44.6          0.8680
271           296.1         0.0720        0.1414        0.1692        43.9          0.8520
272           296.1         0.0718        0.1414        0.1684        43.0          0.8310
273           296.1         0.0716        0.1414        0.1675        42.3          0.8190
274           296.1         0.0714        0.1414        0.1668        41.4          0.8000
275           296.1         0.0712        0.1414        0.1659        40.6          0.8000
276           296.1         0.0710        0.1414        0.1651        40.6          0.7860
277           296.1         0.0708        0.1414        0.1642        39.6          0.7660
278           296.1         0.0707        0.1414        0.1634        38.9          0.7490
279           296.1         0.0704        0.1414        0.1624        38.0          0.7320
280           296.1         0.0702        0.1414        0.1614        37.2          0.7210
281           296.1         0.0700        0.1414        0.1606        36.4          0.6990
282           296.1         0.0698        0.1414        0.1596        35.6          0.6990
283           296.1         0.0695        0.1413        0.1584        34.8          0.6880
284           296.1         0.0694        0.1413        0.1576        33.9          0.6720
285           296.1         0.0691        0.1414        0.1565        33.9          0.6560
286           296.1         0.0689        0.1413        0.1553        33.1          0.6360
287           296.1         0.0686        0.1414        0.1543        32.5          0.6220
288           296.1         0.0684        0.1414        0.1532        31.5          0.6030
289           296.1         0.0682        0.1414        0.1517        30.7          0.5910
290           296.1         0.0679        0.1413        0.1506        29.9          0.5690
291           296.1         0.0676        0.1414        0.1491        29.1          0.5690
292           296.1         0.0673        0.1413        0.1476        28.3          0.5580
293           296.1         0.0670        0.1413        0.1460        27.3          0.5430
294           296.1         0.0666        0.1413        0.1442        27.3          0.5260
295           296.1         0.0663        0.1413        0.1423        26.7          0.5090
296           296.1         0.0659        0.1413        0.1400        26.0          0.4930
297           296.1         0.0655        0.1413        0.1376        25.1          0.4730
298           296.1         0.0650        0.1414        0.1350        24.3          0.4610
299           296.1         0.0647        0.1414        0.1320        23.5          0.4410
300           296.1         0.0640        0.1413        0.1291        22.7          0.4410
301           296.1         0.0635        0.1413        0.1263        22.7          0.4280
302           296.1         0.0630        0.1413        0.1223        21.9          0.4070
303           296.1         0.0624        0.1413        0.1191        21.1          0.3910
304           296.1         0.0618        0.1413        0.1154        20.2          0.3740
305           296.1         0.0613        0.1413        0.1120        19.4          0.3630
306           296.1         0.0607        0.1413        0.1085        18.5          0.3420
307           296.1         0.0601        0.1413        0.1048        17.7          0.3420
308           296.1         0.0596        0.1413        0.1011        17.0          0.3310
309           296.1         0.0591        0.1413        0.0974        16.1          0.3140
310           296.1         0.0585        0.1413        0.0936        16.1          0.2980
311           296.1         0.0580        0.1413        0.0897        15.4          0.2780
312           296.1         0.0574        0.1413        0.0860        14.6          0.2640
313           296.1         0.0569        0.1413        0.0821        13.6          0.2440
314           296.1         0.0564        0.1413        0.0780        12.8          0.2330
315           296.1         0.0560        0.1414        0.0744        12.0          0.2120
316           296.1         0.0555        0.1414        0.0706        11.1          0.2120
317           296.1         0.0550        0.1413        0.0663        10.4          0.2010
318           296.1         0.0546        0.1414        0.0625        9.4           0.1860
319           296.1         0.0542        0.1413        0.0587        9.4           0.1680
320           296.1         0.0538        0.1413        0.0546        8.6           0.1500
321           296.1         0.0535        0.1413        0.0504        8.0           0.1360
322           296.1         0.0530        0.1413        0.0463        7.0           0.1150
323           296.1         0.0527        0.1413        0.0422        6.2           0.1020
324           296.1         0.0525        0.1413        0.0380        5.4           0.0820
325           296.1         0.0523        0.1413        0.0340        4.6           0.0820
326           296.1         0.0520        0.1413        0.0304        4.6           0.0700
327           296.2         0.0517        0.1413        0.0256        3.6           0.0480
328           296.2         0.0515        0.1413        0.0215        2.7           0.0300
329           296.2         0.0513        0.1413        0.0177        1.7           0.0300
330           296.2         0.0513        0.1414        0.0133        1.1           0.0160
331           296.2         0.0511        0.1414        0.0109        0.1           0.0050
332           296.1         0.0510        0.1413        0.0052        0.1           0.0170
333           296.1         0.0511        0.1413        0.0009        -0.6          0.0360
334           296.2         0.0510        0.1413        -0.0033       -1.3          0.0530
335           296.1         0.0511        0.1413        -0.0072       -2.4          0.0530
336           296.1         0.0511        0.1413        -0.0106       -2.4          0.0700
337           296.1         0.0513        0.1413        -0.0158       -3.2          0.0940
338           296.2         0.0514        0.1413        -0.0201       -4.3          0.1130
339           296.2         0.0515        0.1413        -0.0246       -5.1          0.1240
340           296.2         0.0517        0.1413        -0.0287       -6.1          0.1460
341           296.1         0.0519        0.1413        -0.0326       -6.9          0.1460
342           296.2         0.0522        0.1413        -0.0370       -7.5          0.1570
343           296.2         0.0524        0.1413        -0.0410       -7.5          0.1730
344           296.1         0.0528        0.1413        -0.0449       -8.5          0.1990
345           296.2         0.0531        0.1412        -0.0489       -9.5          0.2110
346           296.2         0.0534        0.1413        -0.0532       -10.4         0.2320
347           296.2         0.0538        0.1412        -0.0570       -11.1         0.2320
348           296.1         0.0542        0.1412        -0.0610       -11.9         0.2440
349           296.2         0.0545        0.1412        -0.0649       -12.9         0.2560
350           296.2         0.0550        0.1412        -0.0688       -12.9         0.2760
351           296.1         0.0555        0.1412        -0.0722       -13.5         0.2970
352           296.2         0.0559        0.1412        -0.0767       -14.5         0.3090
353           296.2         0.0564        0.1412        -0.0803       -15.4         0.3310
354           296.2         0.0570        0.1412        -0.0844       -16.3         0.3310
355           296.1         0.0575        0.1412        -0.0884       -17.1         0.3450
356           296.2         0.0580        0.1413        -0.0916       -18.0         0.3620
357           296.2         0.0585        0.1413        -0.0955       -18.0         0.3750
358           296.1         0.0590        0.1412        -0.0993       -18.7         0.3950
359           296.2         0.0596        0.1412        -0.1026       -19.5         0.4110
360           296.2         0.0602        0.1412        -0.1062       -20.4         0.4280
361           296.2         0.0607        0.1413        -0.1097       -21.2         0.4390
362           296.2         0.0613        0.1413        -0.1132       -22.1         0.4610
363           296.2         0.0619        0.1413        -0.1168       -23.0         0.4610
364           296.2         0.0624        0.1412        -0.1203       -23.7         0.4720
365           296.2         0.0630        0.1412        -0.1233       -24.6         0.4890
366           296.2         0.0637        0.1413        -0.1266       -24.6         0.5040
367           296.2         0.0641        0.1413        -0.1298       -25.4         0.5250
368           296.2         0.0645        0.1413        -0.1323       -26.1         0.5380
369           296.2         0.0650        0.1413        -0.1348       -27.1         0.5570
370           296.2         0.0654        0.1413        -0.1375       -27.9         0.5690
371           296.2         0.0659        0.1413        -0.1395       -28.8         0.5900
372           296.2         0.0663        0.1413        -0.1413       -29.6         0.5900
373           296.2         0.0667        0.1413        -0.1433       -30.3         0.6010
374           296.2         0.0669        0.1413        -0.1448       -31.2         0.6170
375           296.2         0.0673        0.1413        -0.1462       -31.2         0.6340
376           296.2         0.0676        0.1413        -0.1474       -32.1         0.6540
377           296.2         0.0678        0.1413        -0.1490       -33.0         0.6660
378           296.2         0.0681        0.1413        -0.1501       -34.0         0.6880
379           296.2         0.0684        0.1413        -0.1514       -34.8         0.6880
380           296.2         0.0686        0.1413        -0.1526       -35.4         0.7030
381           296.2         0.0689        0.1413        -0.1535       -36.4         0.7200
382           296.2         0.0691        0.1413        -0.1546       -36.4         0.7340
383           296.2         0.0693        0.1413        -0.1556       -37.0         0.7530
384           296.2         0.0695        0.1413        -0.1564       -37.9         0.7690
385           296.2         0.0697        0.1413        -0.1573       -39.0         0.7690
386           296.2         0.0700        0.1413        -0.1584       -39.9         0.7860
387           296.2         0.0701        0.1413        -0.1593       -39.9         0.8080
388           296.2         0.0704        0.1413        -0.1600       -40.8         0.8290
389           296.2         0.0705        0.1413        -0.1611       -41.7         0.8410
390           296.2         0.0707        0.1413        -0.1618       -42.7         0.8620
391           296.2         0.0709        0.1412        -0.1626       -43.7         0.8620
392           296.2         0.0712        0.1413        -0.1637       -44.3         0.8730
393           296.2         0.0714        0.1413        -0.1643       -45.3         0.8910
394           296.2         0.0716        0.1413        -0.1650       -45.3         0.9060
395           296.2         0.0718        0.1413        -0.1659       -45.9         0.9260
396           296.2         0.0719        0.1413        -0.1666       -46.6         0.9410
397           296.2         0.0721        0.1413        -0.1674       -47.8         0.9410
398           296.2         0.0723        0.1413        -0.1682       -48.7         0.9600
399           296.2         0.0725        0.1413        -0.1689       -49.6         0.9750
400           296.2         0.0727        0.1413        -0.1697       -49.6         0.9920
401           296.2         0.0728        0.1413        -0.1702       -50.3         1.0120
402           296.2         0.0730        0.1413        -0.1711       -51.4         1.0350
403           296.2         0.0733        0.1413        -0.1718       -52.2         1.0350
404           296.2         0.0734        0.1413        -0.1724       -52.2         1.0460
405           296.2         0.0735        0.1413        -0.1734       -53.2         1.0670
406           296.2         0.0737        0.1413        -0.1739       -54.0         1.0860
407           296.2         0.0739        0.1413        -0.1748       -54.9         1.1000
408           296.2         0.0741        0.1413        -0.1756       -55.7         1.1110
409           296.2         0.0743        0.1414        -0.1761       -56.7         1.1330
410           296.2         0.0744        0.1414        -0.1769       -57.5         1.1330
411           296.2         0.0746        0.1413        -0.1776       -58.2         1.1450
412           296.2         0.0748        0.1414        -0.1782       -59.1         1.1640
413           296.2         0.0750        0.1413        -0.1789       -59.1         1.1770
414           296.2         0.0752        0.1413        -0.1798       -59.9         1.1980
415           296.2         0.0753        0.1413        -0.1802       -60.6         1.2140
416           296.2         0.0755        0.1413        -0.1810       -61.6         1.2300
417           296.2         0.0757        0.1413        -0.1817       -62.4         1.2410
418           296.2         0.0758        0.1413        -0.1822       -63.3         1.2630
419           296.2         0.0761        0.1413        -0.1829       -64.1         1.2630
420           296.2         0.0762        0.1413        -0.1836       -64.8         1.2740
421           296.2         0.0763        0.1413        -0.1840       -65.7         1.2900
422           296.2         0.0765        0.1414        -0.1847       -65.7         1.3070
423           296.2         0.0767        0.1413        -0.1854       -66.6         1.3280
424           296.2         0.0768        0.1414        -0.1858       -67.2         1.3400
425           296.2         0.0769        0.1414        -0.1865       -68.2         1.3600
426           296.2         0.0771        0.1413        -0.1869       -69.1         1.3600
427           296.2         0.0773        0.1413        -0.1876       -70.3         1.3770
428           296.2         0.0774        0.1413        -0.1882       -70.3         1.3940
429           296.2         0.0775        0.1413        -0.1886       -70.9         1.4140
430           296.2         0.0777        0.1414        -0.1893       -72.0         1.4370
431           296.2         0.0779        0.1413        -0.1898       -72.8         1.4370
432           296.2         0.0781        0.1414        -0.1903       -72.8         1.4480
433           296.2         0.0781        0.1414        -0.1910       -73.8         1.4690
434           296.2         0.0783        0.1414        -0.1916       -74.8         1.4890
435           296.2         0.0784        0.1413        -0.1919       -75.7         1.4890
436           296.2         0.0786        0.1413        -0.1926       -76.9         1.5030
437           296.2         0.0787        0.1414        -0.1933       -76.9         1.5240
438           296.2         0.0789        0.1414        -0.1937       -77.7         1.5440
439           296.2         0.0790        0.1414        -0.1946       -78.6         1.5560
440           296.2         0.0792        0.1414        -0.1949       -79.4         1.5780
441           296.2         0.0794        0.1414        -0.1956       -80.4         1.5780
442           296.2         0.0795        0.1414        -0.1962       -81.1         1.5900
443           296.2         0.0797        0.1414        -0.1966       -82.0         1.6070
444           296.2         0.0798        0.1414        -0.1972       -82.0         1.6220
445           296.2         0.0800        0.1414        -0.1979       -82.8         1.6420
446           296.2         0.0801        0.1414        -0.1983       -83.5         1.6570
447           296.2         0.0802        0.1414        -0.1989       -84.4         1.6740
448           296.2         0.0804        0.1414        -0.1996       -85.3         1.6860
449           296.2         0.0805        0.1414        -0.2000       -86.2         1.7080
450           296.2         0.0807        0.1414        -0.2006       -87.0         1.7080
451           296.2         0.0808        0.1414        -0.2010       -87.0         1.7190
452           296.2         0.0810        0.1414        -0.2018       -87.8         1.7410
453           296.2         0.0812        0.1414        -0.2022       -88.6         1.7610
454           296.2         0.0813        0.1414        -0.2030       -89.6         1.7730
455           296.2         0.0815        0.1414        -0.2035       -90.4         1.7850
456           296.2         0.0816        0.1414        -0.2040       -91.4         1.8060
